7-Eleven	7 eleven
bowling	bâu ling
bowler	bâu lơ
bergkamp	béc căm
becgie	béc giê
berlin	béc lin
bernabeu	béc na bêu
bernabo	béc na bô
bernado	béc na đô
bertone	béc tô nê
berdych	béc đích
beppe	bép pê
bestlifeonline	bét lai phơ ôn lain
bedminster	bét min xtơ
bedford	bét phớt
bezvershenko	bét vơ xen cô
best-seller	bét xê lơ
bestofpugh	bét ốp piu
babycious	bê bi si ớt
babydoll	bê bi đôn
bebe	bê bê
bkav	bê ca vê
bekasi	bê ca xi
baker	bê cơ
bakersfield	bê cơ phiêu
bakery	bê cơ ri
begiristain	bê ghi rít xtain
bgbv	bê giê vê
baking	bê king
berkes	bê kết
bake	bê kờ
belarus	bê la rút
belarussau	bê la rút xao
belaruski	bê la rút xki
belarusdo	bê la rút đô
bely	bê li
belinda	bê lin đa
belene	bê lê nê
belova	bê lô va
bemiller	bê mi lơ
benagil	bê na gin
bernardaud	bê na đô
benin	bê ninh
benoit	bê noa
beneficial	bê nê phi xần
beneo	bê nê ô
benedetto	bê nê đét tô
bequelin	bê quê lin
beracasa	bê ra ca xa
beerensteyn	bê ren xtain
berigan	bê ri gần
beruniy	bê ru ni
behroozi	bê ru zi
berultseva	bê run txê va
berizzo	bê rít zô
beta	bê ta
beta-glucan	bê ta glu can
betadin	bê ta đin
bethany	bê tha ni
beethoven	bê thô vần
betina	bê ti na
betis	bê tít
beverly	bê vơ li
basie	bê xi
basin	bê xin
besiktas	bê xích tát
besong	bê xông
beyonce	bê y on xê
bezel	bê zen
bezons	bê zôn
bev	bê ê vê
bedding	bê đinh
beowulf	bêu uun phờ
bigbang	bích bang
bixby	bích bi
biwei	bích vệ
beatbox	bít bốc
bitcoin	bít côi
bizhouse	bít hao
biscayne	bít kên
bishkek	bít kếch
byttneriophyllum	bít nê ri ô phi lum
bizwire	bít oai
bisping	bít pinh
bistro	bít trô
bitter	bít tơ
beatlemania	bít tờ ma ni a
bissainthe	bít xanh thê
bissau	bít xao
bitshiabu	bít xi a bu
bitstamp	bít xtăm
bitdeer	bít đia
bobby	bóp bi
bocelli	bô chen li
bociurkiw	bô ci u kiu
bokova	bô cô va
boga	bô ga
bogey	bô ghi
boje	bô giê
bogota	bô gô ta
bohumilitz	bô hu mi lít
bohemian	bô hê mi an
boeing	bô ing
bola	bô la
bolaven	bô la ven
boehly	bô li
bolivar	bô li va
bolivia	bô li vi a
beaulieu	bô li ê
bollinger	bô lin giơ
bolero	bô lê rô
bolo	bô lô
bologna	bô lô nya
bolognese	bô lô nê zê
beaumont	bô mông
bonaventure	bô na ven tua
bonadio	bô na đi ô
bonita	bô ni ta
bofors	bô phót
borisov	bô ri xốp
bororo	bô rô rô
boraq	bô rắc
botanic	bô ta ních
botulinum	bô tu li num
botulinumsinh	bô tu li num sinh
botox	bô tốt
bauxite	bô xait
bosack	bô xắc
bozidar	bô zi đa
boes	bô ê
bongeka	bôn ghê ca
baltimore	bôn ti mo
bolton	bôn tần
boldsky	bôn xcai
bolzano	bôn za nô
balding	bôn đinh
boulder	bôn đơ
bolden	bôn đần
bonjour	bông giua
bongeunsa	bông un xa
booking	búc king
bookscan	búc xcăn
buchseri	búc xê ri
buble	búp bờ
buffon	búp phôn
busquets	bút quết
buttigieg	bút ti ghếch
boostrix	bút trích
bussel	bút xen
bootstraps	bút xtráp
budden	bút đần
bumrugrad	băm run grát
bunny	băn ni
bundles	băn đờ
bingbing	băng băng
bangkok	băng cốc
bingqian	băng thiên
burberry	bơ bơ ri
berger	bơ giơ
burger	bơ gơ
bergen	bơ gần
bermuda	bơ miu đa
bermudez	bơ mu đết
berman	bơ mần
burmester	bơ mết tơ
burnaby	bơ na bi
bernadino	bơ na đi nô
bernanke	bơ nan kì
burning	bơ ning
bernardo	bơ ná đô
bernard	bơ nát
bernal	bơ nần
burpee	bơ pi
burrage	bơ rết
bertolucci	bơ tô lúc chi
burton	bơ tần
berdyansk	bơ đi an xcơ
birditt	bơ đít
burn-in	bơn in
bernstein	bơn xtain
baiyao	bạch dược
shirakawago	bạch xuyên hương
bangquy	bản quy
baolei	bảo lũy
baojun	bảo tuấn
batdongsan	bất động sản
batdongsancho	bất động sản cho
backbase	bắc bây
baccalaureate	bắc ca lô ri ết
backgrid	bắc grít
buckey	bắc ki
buckingham	bắc king hầm
beijing	bắc kinh
bucket	bắc kết
backlog	bắc lóc
bakhmut	bắc mút
bachmann	bắc mần
bucknell	bắc nên
backpacker	bắc pắc cơ
backpacking	bắc pắc king
backstage	bắc xtê giơ
baxter	bắc xtơ
buffalo	bắp pha lô
buffy	bắp phi
butler	bắt lơ
butterfly	bắt tơ phlai
button	bắt tần
bustle	bắt xơn
becky	bế ki
becker	bếch cơ
begging	bếch ghinh
baekhyun	bếch hyun
beckham	bếch hầm
beckman	bếch mần
begpacker	bếch pắc cơ
baeksang	bếch sang
bechtel	bếch ten
beckton	bếch tơn
benthanh	bến thành
bestlife	bết lai phơ
better	bết tơ
betterhealth	bết tơ hếu
bessette	bết xét
bocca	bốc ca
bocconi	bốc cô ni
bockenheimer	bốc ken hai mơ
boxrec	bốc réc
box-to-box	bốc tu bốc
boxing	bốc xing
bogdan	bốc đan
peixiong	bối hùng
boscombe	bốt com
botnets	bốt nét
bosphorus	bốt pho
bosphorous	bốt pho rút
botticelli	bốt ti chen li
bottega	bốt tê ga
bostic	bốt tích
boston	bốt tơn
botswana	bốt xoa na
berkshire	bớc sai
berkson	bớc xơn
bertus	bớt tút
birdie	bớt đi
brende	bờ ren đê
profit	bờ ro phít
brno	bờ rờ nô
kaabia	ca bi a
kabylia	ca bi li a
kabore	ca bo rê
cabon	ca bon
kabukicho	ca bu ki chô
cabello	ca bê y ô
cabo	ca bô
cabochon	ca bô xôn
cable	ca bờ
kaka	ca ca
calcareous	ca ca ri ớt
cacao	ca ca ô
kachi	ca chi
kaczynski	ca chin xki
cacic	ca chích
kakoma	ca cô ma
kayak	ca dắc
kagawa	ca ga oa
cagayan	ca ga yần
k-garden	ca ga đần
kagerou	ca ghê râu
kajiwara	ca gi oa ra
kazak	ca giắc
kazakhstan	ca giắc xtan
cargo	ca gô
kagoshima	ca gô xi ma
cajal	ca han
cahill	ca hin
calhoun	ca hun
kaho	ca hô
caiazzo	ca ia zô
kakhovka	ca khốp ca
kakejiku	ca kê gi cu
calabrese	ca la brê xê
kalahari	ca la ha ri
callaghan	ca la hần
kalamata	ca la ma ta
calamian	ca la mi an
calamity	ca la mi ti
kalanki	ca lan ki
calendar	ca len đa
cagliari	ca li a ri
kalyegira	ca li ghi ra
kaalijarv	ca li giáp
calligraphy	ca li gra phi
kalinin	ca li nin
kaliningrad	ca li nin grát
calipatria	ca li pa tri a
kalidou	ca li đu
kaling	ca ling
kaluga	ca lu ga
callow	ca lâu
caledonia	ca lê đô ni a
callender	ca lên đơ
kalibr	ca líp
callosum	ca lô xum
kalan	ca lần
camacho	ca ma chô
kamala	ca ma la
kamalani	ca ma la ni
kamali	ca ma li
camara	ca ma ra
kamatari	ca ma ta ri
camavinga	ca ma vin ga
kamise	ca mi xê
kaminski	ca min xki
coming	ca minh
kamaz	ca mát
calmette	ca mét
kameloen	ca mê lô ên
camera	ca mê ra
cameroon	ca mê run
cameron	ca mê rơn
kanagawa	ca na ga oa
canalys	ca na ly xít
kanamari	ca na ma ri
kanawha	ca na oa
canary	ca na ri
canaria	ca na ri a
canaveral	ca na vơ rần
carnaval	ca na vần
canadian	ca na đi ần
canal	ca nan
canoo	ca nu
kaneko	ca nê cô
canellos	ca nê lốt
kahneman	ca nê mần
kaneda	ca nê đa
cano	ca nô
canola	ca nô la
canon	ca nông
cannon	ca nần
kawaguchi	ca oa gu chi
kawano	ca oa nô
kawasaki	ca oa xa ki
carwardine	ca oát đin
kalpakian	ca pa ki ần
capanna	ca pan na
capensis	ca pen xít
cafayate	ca pha ya tê
kafue	ca phu ê
cafe	ca phê
capita	ca pi ta
capri	ca pri
capricorn	ca pri co
caprio	ca pri ô
kapuscinski	ca pu xin xki
kpum	ca pum
kpark	ca pác
kaspersky	ca péc xki
capelin	ca pê lin
capeta	ca pê ta
carabinieri	ca ra bi ni ê ri
karabo	ca ra bô
karachay	ca ra chay
caracas	ca ra cát
karakoy	ca ra côi
karagiannis	ca ra gi an nít
karamanis	ca ra ma nít
caramel	ca ra mên
karate	ca ra tê
caravan	ca ra vần
karasin	ca ra xin
karaoke	ca ra ô kê
karadeniz	ca ra đen nít
karam	ca ram
carrefour	ca re phua
carens	ca ren
karersee	ca rer xi
caribbean	ca ri bi ần
caribe	ca ri bê
carrying	ca ri ing
karimi	ca ri mi
karimou	ca ri mu
carrier	ca ri ơ
carrington	ca ring tần
caruana	ca ru a na
carat	ca rát
carrasco	ca rát cô
carezza	ca rét za
karesansui	ca rê xan xui
karen	ca rên
karik	ca rích
charisma	ca rít ma
carolina	ca rô lai na
caroline	ca rô lain
karolina	ca rô li na
carolyn	ca rô lin
karolinska	ca rô lin xca
charon	ca rông
carangas	ca răng ga
characterising	ca rắc tơ rai zing
characteristics	ca rắc tơ rít tích
karoq	ca rốc
carrot	ca rốt
kashmir	ca sơ mia
katakolon	ca ta cô lôn
catalonia	ca ta lô ni a
catalan	ca ta lần
catamaran	ca ta ma ran
qahtani	ca ta ni
catania	ca ta ni a
cataphractus	ca ta phờ rắc tút
qatari	ca ta ri
catarina	ca ta ri na
catangnan	ca tang nan
catawba	ca tau ba
katinat	ca ti nát
katrina	ca tri na
catuogno	ca tu ô nô
catedral	ca tê đần
kato	ca tô
katona	ca tô na
cava	ca va
cavalli	ca va li
cavallier	ca va li ê
carvana	ca va na
carvalho	ca va nhô
cavendish	ca ven đích
caviar	ca vi a
calvina	ca vi na
calvin	ca vin
kavac	ca vác
kaveh	ca vê
caveat	ca vê át
cover	ca vơ
coverage	ca vơ rích
calvert	ca vớt
casa	ca xa
casablanca	ca xa blan ca
casamonti	ca xa môn ti
carscoops	ca xcúp
kasikorn	ca xi con
cassilas	ca xi lát
casimir	ca xi mia
casino	ca xi nô
ka-shing	ca xin
carspector	ca xpếch tơ
casas	ca xát
kasatkina	ca xát ki na
casemiro	ca xê mi rô
kaseya	ca xê ya
kashif	ca xíp
caio	ca y ô
kayane	ca ya nê
kayin	ca yin
kayu	ca yu
calle	ca yê
kazachenko	ca za chen cô
kazan	ca zan
cazorla	ca zo la
kazuya	ca zu ya
kazuo	ca zu ô
kaze	ca zê
cazona	ca zô na
KFC	ca ép xê
qaeda	ca ê đa
kaen	ca ên
kaola	ca ô la
chaotic	ca ô tích
kadayanallur	ca đa ya na lua
cadence	ca đen
qadi	ca đi
cadillac	ca đi lắc
kadir	ca đia
cadet	ca đét
kadeisha	ca đê xa
kaia	cai a
kaichia	cai chia
kaikoura	cai cu ra
kylie	cai li
kyle	cai lơ
kailen	cai lần
caiman	cai man
caira	cai ra
cairo	cai rô
kaity	cai ti
caicedo	cai xê đô
campbell	cam ben
cambrigde	cam brích
cambridgeshire	cam brích sai
cambridge	cam brít
cambodianess	cam bô đi a nét
campi	cam pi
campion	cam pi on
campli	cam pli
campuchia	cam pu chia
campos	cam pốt
campus	cam pớt
camry	cam ri
garze	cam tự
camden	cam đần
canberra	can be ra
calboli	can bô li
kalkar	can ca
cancun	can cun
calc	can cờ
kanjuro	can giu rô
cangongjok	can gông giốc
kallmann	can mần
cannage	can na zờ
cannings	can ninh
cannellini	can nê li ni
kanno	can nô
canfin	can phần
cantabria	can ta bri a
cantilever	can ti lê vơ
cantrell	can trên
kante	can tê
kanto	can tô
cantona	can tô na
kanter	can tơ
caltech	can tếch
canvas	can vát
kansai	can xai
kansal	can xan
cancel	can xen
canxi	can xi
kansas	can xát
cancelo	can xê lô
canyon	can y on
kanda	can đa
kandal	can đan
candy	can đi
kandinov	can đi nốp
candida	can đi đa
candidates	can đi đết
canday	can đây
candela	can đê la
candlelight	can đờ lai
kangchenjunga	cang chen giun ga
gangqiang	cang chi ang
kang-in	cang in
gangnam	cang nam
kangpokpi	cang pốc pi
kansong	cang tông
gaokao	cao khảo
caotrong	cao trong
gaozhen	cao trấn
caudata	cau đa ta
caudwell	caud oen
caldwell	caun oen
county	caun ti
counterpoint	caun tơ poin
council	caun xin
countdown	caun đao
calder	caun đơ
kautzky	caut xki
kaylin	cay lin
keymer	cay mơ
cayman	cay mần
chaba	cha ba
chabang	cha bang
ja-cheol	cha chơn
chakraborty	cha cra bo ti
chakravuth	cha cra vút
chakri	cha cri
challengedo	cha len giơ đu
chalobah	cha lô ba
chapi	cha pi
charya	cha ri a
charing	cha ring
chaves	cha vê
chavez	cha vết
chavronay	cha vờ rô nay
chasiv	cha xíp
chayapipat	cha ya pi pát
chazelle	cha zen
tchaikovsky	chai cốp xki
childhood	chai hút
china	chai na
chinacho	chai na cho
chinanews	chai na niu
chinapress	chai na prét
chinatimes	chai na tai mơ
chinatown	chai na taun
jaineken	chai nê ken
chinese	chai ní xơ
childfree	chai phờ ri
jaipur	chai pua
chaipattana	chai pát ta na
chaitanya	chai ta nya
chaiyawat	chai ya oát
jaideep	chai đíp
chamkakala	cham ca ca la
championship-point	cham pi ần xíp poin
charmvit	cham vít
calhanoglu	chan ha nô glu
chanmony	chan mô ni
chandni	chan ni
channel	chan nần
charnruean	chan rư ần
chantelle	chan ten
chan-ocha	chan ô cha
chandravati	chan đra va ti
chandrayaan	chan đra yan
chande	chan đê
chandler	chan đơ
changi	chang gi
chang-joon	chang giun
chang-sam	chang xam
chaowarit	chao oa rít
chauri	chao ri
cheowron	che o rôn
chetan	che tan
cheung	che ung
cellini	chen li ni
cello	chen lô
cheltenham	chen tần hầm
chendavy	chen đa vi
jiah	chi a
jialan	chi a lan
chiamaka	chi a ma ca
tchiani	chi a ni
jiaorong	chi a rông
chianti	chi an ti
chiang	chi ang
chiba	chi ba
chica	chi ca
chikako	chi ca cô
chicago	chi ca gô
chichen	chi chen
chikungunya	chi cun gun ya
ciccone	chi cô nê
jjigae	chi ghê
jihan	chi han
chihiro	chi hi rô
chiin	chi in
cichocki	chi khốt xki
chili	chi li
chilikin	chi li kin
chile	chi lê
cilic	chi lích
chilokoa	chi lô cô a
chineses	chi ni xê
chine	chi nê
chiquinho	chi quin hô
chirathivat	chi ra thi vát
ciro	chi rô
chiropractic	chi rô prắc tích
chiron	chi rôn
chirag	chi rắc
chitwan	chi toan
chitra	chi tra
cheetos	chi tốt
zhishan	chi xan
ji-sung	chi xung
chisora	chi xô ra
jiyong	chi yong
cheese	chi zờ
chiellini	chi ê li ni
jiefangbei	chi ê phang bay
chiew	chi êu
zhidan	chi đan
cheerleading	chi ơ li đinh
chios	chi ốt
chimborazo	chim bô ra zô
nicknamejincrush	chin crắt cho
jinge	chin ghê
jinlong	chin long
chinti	chin ti
jinsong	chin xung
jinyoung	chin young
qinghefang	ching hơ phang
chinglee	ching li
qingming	ching minh
chingangbam	ching ăng bam
children	chiêu đờ rần
teruyo	chiếu đại
choba	cho ba
chohikikomori	cho hi ki cô mô ri
chosinh	cho sinh
choong	cho ung
choong-hoon	cho ung hun
cheorwon	cho uôn
chorsi	cho xi
chonlanan	chon la nan
cholnan	chon nan
tchouameni	chu a mê ni
chukwuemeka	chu cu ê mê ca
chugoku	chu gô cu
zhuhai	chu hải
tsui	chu i
chookiat	chu ki át
chumak	chu mắc
chuna	chu na
chungang	chu ngăng
juwai	chu oai
churachandpur	chu ra chan pua
jurong	chu rông
chuzhi	chu tri
chu-wol	chu uôn
joo-sung	chu xung
chuen	chu ên
chhurpi	chua pi
chuaimaroeng	chuai ma rông
juangroongruangkit	chuang rung ruang kít
joonho	chun hô
joon-yeop	chun yếp
chungcheongnam	chung cho nam
chungcheong	chung chơng
chungxe	chung xe
zhuanlan	chuyên lần
charleston	chác lơ xtần
chapman	cháp mần
chatbot	chát bốt
charging	chát ching
charger	chát giơ
chasma	chát ma
chatham	chát thầm
charter	chát tơ
chatswood	chát uút
chernobyl	ché nô bin
chernobylkinh	ché nô bin kinh
cherkasy	chéc ca xi
chechnya	chéc ni a
chernihiv	chéc ni híp
checkout	chéch ao
check-in	chéch in
chepkwony	chép quô ni
check-in	chét in
chter	chét tơ
cheddar	chét đa
chaebol	chê bôn
ceccano	chê ca nô
jae-in	chê in
chelyabinsk	chê li a bin xcơ
jae-myung	chê mi ung
chairman	chê mần
cheney	chê ni
cheniere	chê ni ơ
cheracrom	chê ra crôm
cherenkov	chê ren cốp
cherry	chê ri
cheryl	chê rin
cherevaty	chê rê va ti
cherokee	chê rô ki
cherer	chê rơ
cheshire	chê sai
cervo	chê vô
chesapeake	chê xa pích
cesarini	chê xa ri ni
cheseboro	chê xê bo rô
chase	chê xơ
jae-yong	chê yông
cheops	chê ốp
chamberlain	chêm bơ lần
chainalysis	chên a na ly xít
changeable	chên gia bờ
change	chên giơ
zhizhong	chí trung
chicken	chích kin
chick-fil	chích phin
jung-woo	chính vũ
chiplet	chíp lét
chipuller	chíp pu lơ
chipset	chíp xét
chocolate	chô cô lét
chocopie	chô cô pai
choker	chô cơ
choke	chô cờ
chogo	chô gô
cholimex	chô li mét
chauliodus	chô li ô đút
chorizo	chô ri zô
chosun	chô xun
joseon	chô xơn
cholmondeley	chôm li
chomphet	chôm phết
jomtien	chôm tiên
chomsky	chôm xki
chongar	chôn ga
zhongyuan	chông y u an
chutkan	chút can
chachoengsao	chă chơng xao
champa	chăm pa
chunky	chăng ki
chirs	chơ rít
cheonsu	chơn xu
jeonse	chơn xê
cheongju	chơng chu
jeong-hyu	chơng hiu
jeoun-ae	chưn e
zhenbiao	chấn biểu
zhenzhong	chấn trung
zhenxin	chấn tân
chakpitak	chắc pi tắc
chakravorti	chắc ra vô ti
chadchart	chắt chắt
chattanooga	chắt ta nu ga
chartthaipattana	chắt thai pát ta na
chartered	chắt tơ
check-out	chếch ao
checkr	chếch cơ
checkin	chếch in
checking	chếch king
checkpoint	chếch poin
checkup	chếch ắp
chesney	chết ni
chester	chết tơ
chesterfield	chết tơ phiêu
chokchai	chốc chai
chokmoh	chốc mô
churchill	chờ chiu
church	chờ chờ
cibani	ci ba ni
Circle K	circle k
claminat	cla mi nát
chlamydia	cla mi đi a
clarita	cla ri ta
claret	cla rét
clarissa	cla rít xa
clasico	cla xi cô
climatiq	clai ma tích
climate	clai mét
klymenko	clai mên cô
klinefelter	clai ne phên tơ
kleine	clai nơ
klaesson	clai xơn
klieser	clai zơ
kleinmachnow	clain mách no
cloudbreak	clao brếch
cloudflare	clao phe
claudia	clau đi a
claudio	clau đi ô
claudius	clau đi út
cleverly	cle vơ li
cleaning	cli ning
clichy-sous	cli xi xu
clearly	clia li
clearnet	clia nét
cleartrip	clia tríp
clinton	clin tần
clooney	clu ni
clarkesworld	clác oơ
clapper	cláp pơ
classia	clát xi a
classic	clát xích
clazzy	clát zi
clayco	clây cô
claypool	clây pun
claytor	clây tơ
clayton	clây tần
cleburne	clê bơn
clelland	clê lần
clemente	clê mên tê
claremont	clê môn
clermont	clê mông
clement	clê mần
clemens	clê mền
cleome	clê ô mê
cleopatra	clê ô pa tra
cleone	clê ôn
klimkova	clím cô va
cleveland	clíp lần
clip-on	clíp on
clifford	clíp phớt
clippy	clíp pi
clifton	clíp tơn
klitschko	clít cô
chloe	clô i
clorua	clô ru a
clovis	clô vít
clostridium	clô xtri đi um
clodine	clô đin
claudette	clô đét
klerk	clơ cơ
clergy	clơ gi
kleshcheevka	clết chép ca
korcham	co cham
corcoran	co cô rần
corley	co li
cormann	co mần
cornare	co na rê
cornell	co nen
cornelis	co nê lít
corfu	co phu
corpus	co pút
corporation	co pơ rê xần
correndon	co ren đần
corey	co ri
corriere	co ri ê rê
correa	co rê a
corvette	co vét
corver	co vơ
korsakoff	co xa cốp
corsair	co xe
corset	co xét
cordoza	co đô za
corden	co đần
coinmetrics	coin mê trích
cointelegraph	coin tê lê gráp
coindesk	coin đếch
coindeskcho	coin đếch cho
combank	com banh
combloux	com blu
combat	com bát
combo	com bô
kommersant	com me xan
community	com miu ni ti
commencement	com mên mần
commission	com mí xần
commerce	com mơ
commerzbank	com mơ banh
commercial	com mơ xần
commonwealth	com mần oen
compa	com pa
company	com pa ni
comparative	com pa ra típ
comparison	com pa ri xần
compound	com paun
compares	com pe
comfort	com phớt
computex	com piu tếch
comple	com ple
complications	com pli kê xần
complex	com pléc
complete	com plít
complexity	com plếch xi ti
competitive	com pê ti típ
competition	com pê ti xần
compost	com pốt
comscore	com xco
conch	con chờ
concordia	con co đi a
concours	con cua
conjuring	con giu ring
conjuringra	con giu ring ra
conjuringdo	con giu ring đu
conhay	con hay
conlee	con li
conlin	con lin
connect	con néc
connected	con néc tịt
connection	con néc xần
connochaetes	con nô kê tê
connor	con nơ
connecticut	con nết ti cát
kornwerderzand	con oét đơ zan
confinity	con phi ni ti
conflicts	con phlích
confession	con phé xần
confess	con phét
confessions	con phét xần
confirmation	con phơ mê xần
conference	con phơ rần
konrad	con rắt
continuum	con ti niu um
continuous	con ti niu ớt
continental	con ti nên tần
contrabass	con tra bát
contract	con trắc
cotainer	con tây nơ
constellation	con tê lê xần
content	con tên
contorta	con tọt ta
convention	con ven xần
convenience	con vi ni ần
conversation	con vơ xê xần
converse	con vớt
consumer	con xiu mơ
constanta	con xtan ta
constance	con xtan xê
constructed	con xtrắc tịt
constructions	con xtrắc xần
consult	con xun
consulting	con xun tinh
consultants	con xun tần
concept	con xép
consortium	con xô ti um
console	con xôn
consumption	con xăm xần
concerning	con xơ ninh
concert	con xớt
concerto	con xớt tô
condell	con đen
kondratyev	con đra ti ép
cordero	con đê rô
condesa	con đê xa
kondogbia	con đô bi a
condotel	con đô ten
kondor	con đơ
CPU	cpu
krabi	cra bi
kraken	cra ken
krama	cra ma
kramatorsk	cra ma toóc
kramel	cra mên
kramer	cra mơ
crafune	cra phun
krathong	cra thông
krasnodar	cra xnô đa
kraithong	crai thông
kreisler	crai xlơ
kranji	cran gi
kranjska	cran xờ ca
kranz	cran zơ
crouching	crau ching
crowell	crau oen
kraushaar	crau sa
crowdsafe	crau xếp
kreminna	cre min na
kreangam	cre ăng gam
kremlin	crem lin
creatures	cri chờ
cricket	cri kết
criminal	cri mi nần
kritharioti	cri tha ri ô ti
critic	cri tích
kryuchkov	cri uốc cốp
krivoruchko	cri vô ru chờ cô
chriselle	cri xen
creative	cri ê típ
creator	cri ê tơ
created	cri ê tịt
create	cri ết
kriengkrai	criêng crai
crawford	cro phốt
crawdads	cro đát
kreuzberg	croi bớc
kruger	cru giơ
krueger	cru gơ
cruces	cru xê
cruiseweight	cru xê uết
